S1_anchor_vs_raw_pass,S2_ref_physics_pass,S3_mask_vs_raw_pass,S4_sim_ref_alignment_pass,case,contact_preservation_5cm_pct,deep_penetration_pct,diagnostic_class_E018b,evidence,failure_present,mask_overclaim_pct,next_experiment,object_Epos_m,object_Erot_deg,partner_anchor_dist_m,recommended_owner,ref_leg_interference_pct,robot_fall_detected,root_cause,variant
False,True,False,False,box021_p1,71.73913043478261,53.103448275862064,robot_fall_visual_fail,"partner_dist=0.520m, partner_face=-x(70%), anchor_face=+x; pelvis_min=0.716m, ref_leg=0.0%, ref_hand=73.3%; current_contact=100.0%, raw_any=68.2%, mismatch=35.2%; Epos=0.091m, contact=71.7%(ok=True), deep_pen=53.1%(ok=False), fall=True",True,35.22727272727273,E022_stability_leg_collision,0.09065991143498428,11.376272128369187,0.5202724043855009,SPIDER physics/control,0.0,True,algo_stability,E018b_box021_p1_canonical_t02
False,True,False,False,box021_p2,10.300429184549357,0.7352941176470588,robot_fall_visual_fail,"partner_dist=0.370m, partner_face=+x(55%), anchor_face=-x; pelvis_min=0.668m, ref_leg=9.3%, ref_hand=74.0%; current_contact=100.0%, raw_any=80.0%, mismatch=22.7%; Epos=0.074m, contact=10.3%(ok=False), deep_pen=0.7%(ok=True), fall=True",True,22.666666666666664,E022_stability_leg_collision,0.07418974101313475,7.203234947987754,0.3703210865288546,SPIDER physics/control,9.333333333333334,True,algo_stability,E018b_box021_p2_canonical_t02
False,True,False,False,box023_p1,22.48995983935743,0.0,contact_preservation_gap,"partner_dist=0.080m, partner_face=+x(36%), anchor_face=+y; pelvis_min=0.628m, ref_leg=0.0%, ref_hand=47.8%; current_contact=100.0%, raw_any=46.3%, mismatch=54.4%; Epos=0.043m, contact=22.5%(ok=False), deep_pen=0.0%(ok=True), fall=False",True,54.41176470588235,E021_per_eef_mask_repair,0.0434650859749555,1.9645056156246488,0.08031830257533643,OmniRetarget/contact-mask pipeline,0.0,False,contact_mask,E018b_box023_p1_canonical_t02
False,True,False,False,box023_p2,28.57142857142857,3.3333333333333335,contact_preservation_gap,"partner_dist=0.349m, partner_face=+y(92%), anchor_face=+x; pelvis_min=0.679m, ref_leg=0.0%, ref_hand=48.5%; current_contact=100.0%, raw_any=47.8%, mismatch=53.7%; Epos=0.042m, contact=28.6%(ok=False), deep_pen=3.3%(ok=True), fall=False",True,53.67647058823529,E023_robot_side_contact_closure,0.042486059625328434,2.279997879116793,0.3489415837275164,SPIDER contact reward/control,0.0,False,algo_contact,E018b_box023_p2_canonical_t02
False,False,False,False,box025_p1,66.07142857142857,5.056179775280898,contact_preservation_gap,"partner_dist=0.478m, partner_face=+x(39%), anchor_face=-x; pelvis_min=0.747m, ref_leg=66.5%, ref_hand=77.4%; current_contact=100.0%, raw_any=63.7%, mismatch=43.1%; Epos=0.072m, contact=66.1%(ok=False), deep_pen=5.1%(ok=True), fall=False",True,43.145161290322584,E021_ref_geometry_repair,0.07185492601006568,5.146791856767812,0.47816556084025447,OmniRetarget kinematic pipeline,66.53225806451613,False,retarget_kinematic,E018b_box025_p1_canonical_t02
False,True,False,True,box025_p2,86.9281045751634,0.0,paper_generalization_pass,"partner_dist=0.725m, partner_face=-x(67%), anchor_face=+y; pelvis_min=0.745m, ref_leg=23.0%, ref_hand=69.8%; current_contact=100.0%, raw_any=62.1%, mismatch=37.9%; Epos=0.056m, contact=86.9%(ok=True), deep_pen=0.0%(ok=True), fall=False",False,37.903225806451616,none,0.05608089732155346,1.918895745172837,0.7254979218855319,none,22.983870967741936,False,pass,E018b_box025_p2_canonical_t02
True,True,False,False,bucket001_p1,0.0,0.0,robot_fall_visual_fail,"partner_dist=0.091m, partner_face=+y(100%), anchor_face=+y; pelvis_min=0.767m, ref_leg=0.0%, ref_hand=58.9%; current_contact=100.0%, raw_any=57.0%, mismatch=71.5%; Epos=0.033m, contact=0.0%(ok=False), deep_pen=0.0%(ok=True), fall=True",True,71.49532710280374,E022_stability_leg_collision,0.033281688480480735,2.654974146595496,0.09137687991510755,SPIDER physics/control,0.0,True,algo_stability,E018b_bucket001_p1_canonical_t02
True,True,False,False,bucket001_p2,66.29213483146067,64.64646464646465,robot_fall_visual_fail,"partner_dist=0.090m, partner_face=+y(100%), anchor_face=+y; pelvis_min=0.747m, ref_leg=0.0%, ref_hand=69.7%; current_contact=100.0%, raw_any=73.0%, mismatch=63.5%; Epos=0.038m, contact=66.3%(ok=False), deep_pen=64.6%(ok=False), fall=True",True,63.52459016393443,E022_stability_leg_collision,0.037747957938191204,7.653810697010029,0.09000574130270239,SPIDER physics/control,0.0,True,algo_stability,E018b_bucket001_p2_canonical_t02
False,True,False,False,bucket005_s2_p1,97.59358288770053,88.15165876777252,push_or_leg_shortcut,"partner_dist=0.285m, partner_face=+x(40%), anchor_face=+x; pelvis_min=0.687m, ref_leg=30.4%, ref_hand=66.2%; current_contact=100.0%, raw_any=64.2%, mismatch=36.8%; Epos=0.039m, contact=97.6%(ok=True), deep_pen=88.2%(ok=False), fall=False",True,36.82432432432432,E023_robot_side_contact_closure,0.03862496991981396,4.433582670631227,0.28516306800424257,SPIDER collision/contact control,30.405405405405407,False,algo_contact,E018b_bucket005_s2_p1_canonical_t02
False,True,False,False,bucket005_s2_p2,95.86776859504133,74.38423645320196,artifact_failed,"partner_dist=0.198m, partner_face=+x(55%), anchor_face=+x; pelvis_min=0.633m, ref_leg=5.1%, ref_hand=63.9%; current_contact=100.0%, raw_any=62.2%, mismatch=38.5%; Epos=0.059m, contact=95.9%(ok=True), deep_pen=74.4%(ok=False), fall=False",True,38.513513513513516,E023_robot_side_contact_closure,0.05895493975493823,8.194145044711972,0.1979327755189911,SPIDER collision/contact control,5.0675675675675675,False,algo_contact,E018b_bucket005_s2_p2_canonical_t02
