S3_mask_vs_raw_pass,case,current_left_pct,current_ref_any_contact_pct,current_right_pct,evidence,mask_mismatch_pct,mask_overclaim_pct,mask_underclaim_pct,raw_left_pct,raw_right_pct,raw_selected_any_contact_pct,variant
False,box021_p1,100.0,100.0,100.0,"current_contact=100.0%, raw_any=68.2%, mismatch=35.2%",35.22727272727273,35.22727272727273,0.0,61.36363636363637,68.18181818181817,68.18181818181817,E018b_box021_p1_canonical_t02
False,box021_p2,100.0,100.0,100.0,"current_contact=100.0%, raw_any=80.0%, mismatch=22.7%",22.666666666666664,22.666666666666664,0.0,80.0,74.66666666666667,80.0,E018b_box021_p2_canonical_t02
False,box023_p1,100.0,100.0,100.0,"current_contact=100.0%, raw_any=46.3%, mismatch=54.4%",54.41176470588235,54.41176470588235,0.0,46.32352941176471,44.85294117647059,46.32352941176471,E018b_box023_p1_canonical_t02
False,box023_p2,100.0,100.0,100.0,"current_contact=100.0%, raw_any=47.8%, mismatch=53.7%",53.67647058823529,53.67647058823529,0.0,44.85294117647059,47.794117647058826,47.794117647058826,E018b_box023_p2_canonical_t02
False,box025_p1,100.0,100.0,100.0,"current_contact=100.0%, raw_any=63.7%, mismatch=43.1%",43.145161290322584,43.145161290322584,0.0,53.2258064516129,60.483870967741936,63.70967741935484,E018b_box025_p1_canonical_t02
False,box025_p2,100.0,100.0,100.0,"current_contact=100.0%, raw_any=62.1%, mismatch=37.9%",37.903225806451616,37.903225806451616,0.0,62.096774193548384,62.096774193548384,62.096774193548384,E018b_box025_p2_canonical_t02
False,bucket001_p1,100.0,100.0,100.0,"current_contact=100.0%, raw_any=57.0%, mismatch=71.5%",71.49532710280374,71.49532710280374,0.0,57.009345794392516,0.0,57.009345794392516,E018b_bucket001_p1_canonical_t02
False,bucket001_p2,100.0,100.0,100.0,"current_contact=100.0%, raw_any=73.0%, mismatch=63.5%",63.52459016393443,63.52459016393443,0.0,0.0,72.95081967213115,72.95081967213115,E018b_bucket001_p2_canonical_t02
False,bucket005_s2_p1,100.0,100.0,100.0,"current_contact=100.0%, raw_any=64.2%, mismatch=36.8%",36.82432432432432,36.82432432432432,0.0,62.16216216216216,64.1891891891892,64.1891891891892,E018b_bucket005_s2_p1_canonical_t02
False,bucket005_s2_p2,100.0,100.0,100.0,"current_contact=100.0%, raw_any=62.2%, mismatch=38.5%",38.513513513513516,38.513513513513516,0.0,62.16216216216216,60.810810810810814,62.16216216216216,E018b_bucket005_s2_p2_canonical_t02
False,bucket007_p1,100.0,100.0,100.0,"current_contact=100.0%, raw_any=57.0%, mismatch=44.2%",44.214876033057855,44.214876033057855,0.0,54.54545454545454,57.02479338842975,57.02479338842975,E018b_bucket007_p1_canonical_t02
False,bucket007_p2,100.0,100.0,100.0,"current_contact=100.0%, raw_any=74.7%, mismatch=26.3%",26.31578947368421,26.31578947368421,0.0,72.63157894736842,74.73684210526315,74.73684210526315,E018b_bucket007_p2_canonical_t02
False,desk021_p1,100.0,100.0,100.0,"current_contact=100.0%, raw_any=56.0%, mismatch=49.6%",49.62686567164179,49.62686567164179,0.0,54.47761194029851,46.26865671641791,55.970149253731336,E018b_desk021_p1_canonical_t02
