S4_sim_ref_alignment_pass,case,contact_preservation_5cm_pct,contact_preservation_ok,deep_penetration_ok,deep_penetration_pct,evidence,floor_leg_ok,leg_interference_pct,object_Epos_m,object_Erot_deg,robot_fall_detected,transport_success,variant
False,box021_p1,71.73913043478261,True,False,53.103448275862064,"Epos=0.091m, contact=71.7%(ok=True), deep_pen=53.1%(ok=False), fall=True",False,35.172413793103445,0.09065991143498428,11.376272128369187,True,True,E018b_box021_p1_canonical_t02
False,box021_p2,10.300429184549357,False,True,0.7352941176470588,"Epos=0.074m, contact=10.3%(ok=False), deep_pen=0.7%(ok=True), fall=True",False,18.38235294117647,0.07418974101313475,7.203234947987754,True,True,E018b_box021_p2_canonical_t02
False,box023_p1,22.48995983935743,False,True,0.0,"Epos=0.043m, contact=22.5%(ok=False), deep_pen=0.0%(ok=True), fall=False",True,0.0,0.0434650859749555,1.9645056156246488,False,True,E018b_box023_p1_canonical_t02
False,box023_p2,28.57142857142857,False,True,3.3333333333333335,"Epos=0.042m, contact=28.6%(ok=False), deep_pen=3.3%(ok=True), fall=False",True,0.0,0.042486059625328434,2.279997879116793,False,True,E018b_box023_p2_canonical_t02
False,box025_p1,66.07142857142857,False,True,5.056179775280898,"Epos=0.072m, contact=66.1%(ok=False), deep_pen=5.1%(ok=True), fall=False",True,12.921348314606742,0.07185492601006568,5.146791856767812,False,True,E018b_box025_p1_canonical_t02
True,box025_p2,86.9281045751634,True,True,0.0,"Epos=0.056m, contact=86.9%(ok=True), deep_pen=0.0%(ok=True), fall=False",True,0.0,0.05608089732155346,1.918895745172837,False,True,E018b_box025_p2_canonical_t02
False,bucket001_p1,0.0,False,True,0.0,"Epos=0.033m, contact=0.0%(ok=False), deep_pen=0.0%(ok=True), fall=True",True,0.0,0.033281688480480735,2.654974146595496,True,True,E018b_bucket001_p1_canonical_t02
False,bucket001_p2,66.29213483146067,False,False,64.64646464646465,"Epos=0.038m, contact=66.3%(ok=False), deep_pen=64.6%(ok=False), fall=True",True,8.080808080808081,0.037747957938191204,7.653810697010029,True,True,E018b_bucket001_p2_canonical_t02
False,bucket005_s2_p1,97.59358288770053,True,False,88.15165876777252,"Epos=0.039m, contact=97.6%(ok=True), deep_pen=88.2%(ok=False), fall=False",False,23.696682464454977,0.03862496991981396,4.433582670631227,False,True,E018b_bucket005_s2_p1_canonical_t02
False,bucket005_s2_p2,95.86776859504133,True,False,74.38423645320196,"Epos=0.059m, contact=95.9%(ok=True), deep_pen=74.4%(ok=False), fall=False",True,9.852216748768473,0.05895493975493823,8.194145044711972,False,True,E018b_bucket005_s2_p2_canonical_t02
False,bucket007_p1,78.96678966789668,True,False,68.45637583892618,"Epos=0.065m, contact=79.0%(ok=True), deep_pen=68.5%(ok=False), fall=False",True,2.013422818791946,0.06480382041096065,9.148366505704397,False,True,E018b_bucket007_p1_canonical_t02
False,bucket007_p2,29.749103942652326,False,False,18.421052631578945,"Epos=0.048m, contact=29.7%(ok=False), deep_pen=18.4%(ok=False), fall=False",True,5.921052631578947,0.048365414587828115,4.169342345184582,False,True,E018b_bucket007_p2_canonical_t02
False,desk021_p1,52.02952029520295,False,True,14.285714285714285,"Epos=0.048m, contact=52.0%(ok=False), deep_pen=14.3%(ok=True), fall=False",True,0.5494505494505495,0.04754044753629394,1.7094988819502215,False,True,E018b_desk021_p1_canonical_t02
