case_id	object_group	task	role	frame	raw_frame	hand	raw_active	filled	raw_local_x	raw_local_y	raw_local_z	old_wrist5_local_x	old_wrist5_local_y	old_wrist5_local_z	support_patch_local_x	support_patch_local_y	support_patch_local_z	reward_target_local_x	reward_target_local_y	reward_target_local_z	handbox_closest_local_x	handbox_closest_local_y	handbox_closest_local_z	old_wrist5_to_raw_m	support_patch_to_raw_m	reward_delta_m	handbox_gap_to_patch_m	old_wrist5_face	support_patch_face	reward_target_face	old_wrist5_support	support_patch_support	reward_target_support	old_wrist5_inside	support_patch_inside	reward_target_inside
box023_p2	box023	box023_person2	known_guard	0	42	left	False	False	nan	nan	nan	-0.04613284552250266	0.5015968213926488	0.3882872140752714	-0.04613284552250266	0.5015968213926488	0.3882872140752714	-0.04613284552250266	0.5015968213926488	0.3882872140752714	-0.04613284552250266	0.5015968213926488	0.3882872140752714	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	1	43	left	False	False	nan	nan	nan	-0.05842776141598645	0.49618641298973426	0.4218227367816848	-0.05842776141598645	0.49618641298973426	0.4218227367816848	-0.05842776141598645	0.49618641298973426	0.4218227367816848	-0.05842776141598645	0.49618641298973426	0.4218227367816848	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	2	44	left	False	False	nan	nan	nan	-0.06525102572815389	0.49708233985716316	0.4402232974095874	-0.06525102572815389	0.49708233985716316	0.4402232974095874	-0.06525102572815389	0.49708233985716316	0.4402232974095874	-0.06525102572815389	0.49708233985716316	0.4402232974095874	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	3	45	left	False	False	nan	nan	nan	-0.06894489201958831	0.4984170592893474	0.45345197383006886	-0.06894489201958831	0.4984170592893474	0.45345197383006886	-0.06894489201958831	0.4984170592893474	0.45345197383006886	-0.06894489201958831	0.4984170592893474	0.45345197383006886	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	4	46	left	False	False	nan	nan	nan	-0.07154883005052878	0.5018882990205359	0.44230233571446465	-0.07154883005052878	0.5018882990205359	0.44230233571446465	-0.07154883005052878	0.5018882990205359	0.44230233571446465	-0.07154883005052878	0.5018882990205359	0.44230233571446465	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	5	47	left	False	False	nan	nan	nan	-0.06701278401304622	0.499555513434214	0.4325209326908361	-0.06701278401304622	0.499555513434214	0.4325209326908361	-0.06701278401304622	0.499555513434214	0.4325209326908361	-0.06701278401304622	0.499555513434214	0.4325209326908361	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	6	48	left	False	False	nan	nan	nan	-0.059794179454778086	0.5009836556522114	0.417196401324954	-0.059794179454778086	0.5009836556522114	0.417196401324954	-0.059794179454778086	0.5009836556522114	0.417196401324954	-0.059794179454778086	0.5009836556522114	0.417196401324954	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	7	49	left	False	False	nan	nan	nan	-0.05129812346354335	0.4958221255441326	0.4091122689426983	-0.05129812346354335	0.4958221255441326	0.4091122689426983	-0.05129812346354335	0.4958221255441326	0.4091122689426983	-0.05129812346354335	0.4958221255441326	0.4091122689426983	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	8	50	left	False	False	nan	nan	nan	-0.05378749877773732	0.49256774809056353	0.40372645533311113	-0.05378749877773732	0.49256774809056353	0.40372645533311113	-0.05378749877773732	0.49256774809056353	0.40372645533311113	-0.05378749877773732	0.49256774809056353	0.40372645533311113	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	9	51	left	False	False	nan	nan	nan	-0.048586702061236046	0.4805284765390174	0.3878900696381342	-0.048586702061236046	0.4805284765390174	0.3878900696381342	-0.048586702061236046	0.4805284765390174	0.3878900696381342	-0.048586702061236046	0.4805284765390174	0.3878900696381342	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	10	52	left	False	False	nan	nan	nan	-0.05036199730216569	0.4656656433115096	0.37398514067045424	-0.05036199730216569	0.4656656433115096	0.37398514067045424	-0.05036199730216569	0.4656656433115096	0.37398514067045424	-0.05036199730216569	0.4656656433115096	0.37398514067045424	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	11	53	left	False	False	nan	nan	nan	-0.06353327929621483	0.4339426378905506	0.3561632382898559	-0.06353327929621483	0.4339426378905506	0.3561632382898559	-0.06353327929621483	0.4339426378905506	0.3561632382898559	-0.06353327929621483	0.4339426378905506	0.3561632382898559	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	12	54	left	False	False	nan	nan	nan	-0.07134404551307384	0.40158007413031505	0.34997950476438944	-0.07134404551307384	0.40158007413031505	0.34997950476438944	-0.07134404551307384	0.40158007413031505	0.34997950476438944	-0.07134404551307384	0.40158007413031505	0.34997950476438944	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	13	55	left	False	False	nan	nan	nan	-0.07904723057068463	0.3548187589335215	0.34097296780965747	-0.07904723057068463	0.3548187589335215	0.34097296780965747	-0.07904723057068463	0.3548187589335215	0.34097296780965747	-0.07904723057068463	0.3548187589335215	0.34097296780965747	nan	nan	0.0	0.0	+y	+y	+y	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	14	56	left	False	False	nan	nan	nan	-0.08501192836011173	0.29477846342075	0.3372508838687945	-0.08501192836011173	0.29477846342075	0.3372508838687945	-0.08501192836011173	0.29477846342075	0.3372508838687945	-0.08501192836011173	0.29477846342075	0.3372508838687945	nan	nan	0.0	0.0	+z	+z	+z	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	15	57	left	False	False	nan	nan	nan	-0.09463438198098188	0.2458737643744611	0.3294312165336193	-0.09463438198098188	0.2458737643744611	0.3294312165336193	-0.09463438198098188	0.2458737643744611	0.3294312165336193	-0.09463438198098188	0.2458737643744611	0.3294312165336193	nan	nan	0.0	0.0	+z	+z	+z	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	16	58	left	False	False	nan	nan	nan	-0.107105996742867	0.20471493024956228	0.3167772590055165	-0.107105996742867	0.20471493024956228	0.3167772590055165	-0.107105996742867	0.20471493024956228	0.3167772590055165	-0.107105996742867	0.20471493024956228	0.3167772590055165	nan	nan	0.0	0.0	+z	+z	+z	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	17	59	left	False	False	nan	nan	nan	-0.128736675738267	0.15707463489431628	0.28946786934482444	-0.128736675738267	0.15707463489431628	0.28946786934482444	-0.128736675738267	0.15707463489431628	0.28946786934482444	-0.128736675738267	0.15707463489431628	0.28946786934482444	nan	nan	0.0	0.0	+z	+z	+z	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	18	60	left	False	False	nan	nan	nan	-0.14569633077185662	0.12303231946362865	0.26619007600067973	-0.14569633077185662	0.12303231946362865	0.26619007600067973	-0.14569633077185662	0.12303231946362865	0.26619007600067973	-0.14569633077185662	0.12303231946362865	0.26619007600067973	nan	nan	0.0	0.0	+z	+z	+z	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	19	61	left	True	False	0.13623957252219024	0.11584584238878838	0.1766	-0.13605395165358794	0.10138798535459112	0.264734167256407	0.13623957252219024	0.1568	0.16160000000000002	-0.13605395165358794	0.10138798535459112	0.264734167256407	-0.0470388524975283	0.08036737758210208	0.21408016340045766	0.28656661420351587	0.04361471111498919	0.0	0.20539497169581408	+z	+y	+z	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	20	62	left	True	False	0.14107603187007986	0.11232116678336701	0.1766	-0.12228443607862079	0.08715612714181012	0.2647317438302107	0.1381	0.1568	0.16160000000000002	-0.12228443607862079	0.08715612714181012	0.2647317438302107	-0.026706562130367845	0.06622744905781033	0.21368754000581733	0.27885340157307315	0.04703427866997414	0.0	0.19513508584891634	+z	+y	+z	True	True	True	False	False	False
box023_p2	box023	box023_person2	known_guard	21	63	left	True	False	0.13766430857747927	0.11032725250218117	0.1766	-0.11431594533956846	0.08088471443615812	0.2642203695236601	0.13766430857747927	0.1568	0.16160000000000002	-0.11431594533956846	0.08088471443615812	0.2642203695236601	-0.01199083156550207	0.0579092400015626	0.21174844128179157	0.2683994049310315	0.048833556700244814	0.0	0.18625495845017717	+z	+y	+z	True	True	True	False	False	False
