frame,eval_time_s,npz_time_s,ref_contact_left,ref_contact_right,raw_contact_left,raw_contact_right,robot_contact_5cm_left,robot_contact_5cm_right,ref_contact_any,raw_contact_any,sim_contact_any,sim_hand_object_dist_left_m,sim_hand_object_dist_right_m,ref_hand_object_dist_left_m,ref_hand_object_dist_right_m,sim_min_hand_sdf_m,ref_min_hand_sdf_m,object_pos_lag_m,support_proxy_lag_m,contact_miss_reason,phase_shift_suggestion_frames
0,0.0,0.0166667,,,False,False,,,True,False,True,,,,,0.028751821172862208,0.03416987242027919,0.006251447141647694,,hit,0
1,0.02,0.0333334,,,False,False,,,True,False,True,,,,,0.028158203515545537,0.03443580459458745,0.006320994726935972,,hit,0
2,0.04,0.0500001,,,False,False,,,True,False,True,,,,,0.0301115375344795,0.03470506972603099,0.006511778821274654,,hit,0
3,0.06,0.0666668,,,False,False,,,True,False,True,,,,,0.035758550968279325,0.03509292162945954,0.007288387013086689,,hit,0
4,0.08,0.0833335,,,False,False,,,True,False,True,,,,,0.04257846976945,0.035483490924578254,0.008249129413928443,,hit,0
5,0.1,0.10000020000000001,,,False,False,,,True,False,True,,,,,0.04965864931548031,0.03606404113710082,0.009382081322906221,,hit,0
6,0.12,0.11666690000000002,,,False,False,,,True,False,False,,,,,0.05664640980467065,0.03664662977813815,0.010378468055234654,,raw_or_retarget_questionable,0
7,0.14,0.13333360000000002,,,False,False,,,True,False,False,,,,,0.06339923701340194,0.036545847328910974,0.010923145271780217,,raw_or_retarget_questionable,0
8,0.16,0.15000030000000003,,,False,False,,,True,False,False,,,,,0.06988187233811403,0.03582963138935774,0.011381260590202285,,raw_or_retarget_questionable,0
9,0.18,0.16666700000000004,,,False,False,,,True,False,False,,,,,0.07612776631107993,0.03543056617960055,0.011955580031666425,,raw_or_retarget_questionable,0
10,0.2,0.18333370000000004,,,False,False,,,True,False,False,,,,,0.08213043646473243,0.03505364166985314,0.01245796441597657,,raw_or_retarget_questionable,0
11,0.22,0.20000040000000005,,,False,False,,,True,False,False,,,,,0.0858606198677871,0.034850024178214256,0.012901876025054443,,raw_or_retarget_questionable,0
12,0.24,0.21666710000000006,,,False,False,,,True,False,False,,,,,0.08957288523907839,0.03465916177949335,0.014375099306487516,,raw_or_retarget_questionable,0
13,0.26,0.23333380000000006,,,False,False,,,True,False,False,,,,,0.09314841543996258,0.03440262291878071,0.01588981214399748,,raw_or_retarget_questionable,0
14,0.28,0.25000050000000007,,,False,False,,,True,False,False,,,,,0.09610059720248126,0.034141207173410626,0.01763306864414798,,raw_or_retarget_questionable,0
15,0.3,0.26666720000000005,,,False,False,,,True,False,False,,,,,0.09835598572523385,0.03377570745274994,0.019412367994580435,,raw_or_retarget_questionable,0
16,0.32,0.2833339,,,False,False,,,True,False,False,,,,,0.10094686859251989,0.03340190748631089,0.02149332479585872,,raw_or_retarget_questionable,0
17,0.34,0.3000006,,,False,False,,,True,False,False,,,,,0.10368592530305742,0.03328138595792279,0.02354367972886289,,raw_or_retarget_questionable,0
18,0.36,0.3166673,,,False,False,,,True,False,False,,,,,0.10589983636173667,0.03318502495438902,0.025564312363667428,,raw_or_retarget_questionable,0
19,0.38,0.33333399999999996,,,False,False,,,True,False,False,,,,,0.10928145201191725,0.03306370711233114,0.027670913913507133,,raw_or_retarget_questionable,0
20,0.4,0.35000069999999994,,,False,False,,,True,False,False,,,,,0.11226982543474584,0.03293913918979868,0.0294090534325128,,raw_or_retarget_questionable,0
21,0.42,0.3666673999999999,,,False,False,,,True,False,False,,,,,0.11460257470414881,0.03286960395335481,0.030960439072931764,,raw_or_retarget_questionable,0
22,0.44,0.3833340999999999,,,False,False,,,True,False,False,,,,,0.11563951987176485,0.03280169991231546,0.03214487873566727,,raw_or_retarget_questionable,0
23,0.46,0.4000007999999999,,,False,False,,,True,False,False,,,,,0.1152480752502627,0.03200257695878955,0.03311619140033672,,raw_or_retarget_questionable,0
24,0.48,0.41666749999999986,,,False,False,,,True,False,False,,,,,0.11313276295100871,0.03107511834141735,0.03378985779845539,,raw_or_retarget_questionable,0
25,0.5,0.43333419999999984,,,False,False,,,True,False,False,,,,,0.10921071548823624,0.030082680487653002,0.03429143785589515,,raw_or_retarget_questionable,0
26,0.52,0.4500008999999998,,,False,False,,,True,False,False,,,,,0.10346700079255294,0.029058266412679112,0.034533598451017194,,raw_or_retarget_questionable,0
27,0.54,0.4666675999999998,,,False,False,,,True,False,False,,,,,0.09642223582041792,0.02846861702978154,0.03473731893283314,,raw_or_retarget_questionable,0
28,0.56,0.4833342999999998,,,False,False,,,True,False,False,,,,,0.08810977034999684,0.027866593190044142,0.03483448838225659,,raw_or_retarget_questionable,0
29,0.58,0.5000009999999998,,,False,False,,,True,False,False,,,,,0.0790727851261766,0.026427145890707104,0.03485256238609186,,raw_or_retarget_questionable,0
30,0.6,0.5166676999999998,,,False,False,,,True,False,False,,,,,0.069861703069384,0.024683039623972836,0.034796516855404226,,raw_or_retarget_questionable,0
31,0.62,0.5333343999999999,,,False,False,,,True,False,False,,,,,0.06072454602844796,0.020080914551785355,0.03485354160025576,,raw_or_retarget_questionable,0
32,0.64,0.5500010999999999,,,False,False,,,True,False,False,,,,,0.051622749202765994,0.015190919465263644,0.03496391850006934,,raw_or_retarget_questionable,0
33,0.66,0.5666677999999999,,,False,False,,,True,False,True,,,,,0.04261063198731241,0.011047556216519374,0.03502074263155822,,hit,0
34,0.68,0.5833345,,,False,False,,,True,False,True,,,,,0.03810359055410867,0.007348786219527152,0.03482169265563304,,hit,0
35,0.7,0.6000012,,,False,False,,,True,False,True,,,,,0.035846972871398264,0.003963039169639637,0.03454361509936389,,hit,0
36,0.72,0.6166679,,,False,False,,,True,False,True,,,,,0.034941834265375615,0.0007786373627927667,0.03418081332547368,,hit,0
37,0.74,0.6333346000000001,,,False,False,,,True,False,True,,,,,0.034947729555341256,0.0,0.0337541267795094,,hit,0
38,0.76,0.6500013000000001,,,False,False,,,True,False,True,,,,,0.03570010845907212,0.0,0.03336060549228962,,hit,0
39,0.78,0.6666680000000001,,,False,False,,,True,False,True,,,,,0.03667714972940356,0.0,0.033015286237483406,,hit,0
40,0.8,0.6833347000000002,,,False,False,,,True,False,True,,,,,0.03753025785359532,0.0,0.0327040639961775,,hit,0
41,0.82,0.7000014000000002,,,False,False,,,True,False,True,,,,,0.03819594349515165,0.0,0.032302821915726664,,hit,0
42,0.84,0.7166681000000003,,,False,False,,,True,False,True,,,,,0.03853757932522239,0.0,0.03178784705335206,,hit,0
